"inc_code","category","subcategory"
"26200","other miscellaneous","other"
"26210","other miscellaneous","intimidation"
"26211","other miscellaneous","intimidation"
"26212","other miscellaneous","other"
"26213","other miscellaneous","other"
"26214","other miscellaneous","other"
"27010","other miscellaneous","fraud"
"27020","other miscellaneous","fraud"
"27030","other miscellaneous","other"
"27031","other miscellaneous","other"
"27040","other miscellaneous","other"
"27050","other miscellaneous","other"
"27060","other miscellaneous","other"
"27065","other miscellaneous","fraud"
"27066","other miscellaneous","other"
"27067","other miscellaneous","other"
"27068","other miscellaneous","other"
"27070","other miscellaneous","other"
"27071","other miscellaneous","other"
"27072","other miscellaneous","other"
"27080","other miscellaneous","other"
"27082","other miscellaneous","other"
"27090","larceny theft","larceny theft - other"
"27100","other miscellaneous","disorderly conduct"
"27110","other miscellaneous","disorderly conduct"
"27120","other miscellaneous","simple assault"
"27121","other miscellaneous","other"
"27122","other miscellaneous","weapons offense"
"27130","other miscellaneous","other"
"27131","other miscellaneous","other"
"27140","other miscellaneous","other"
"27145","other miscellaneous","other"
"27150","other miscellaneous","fraud"
"27155","other miscellaneous","fraud"
"27160","other miscellaneous","fraud"
"27165","other miscellaneous","other"
"27170","other miscellaneous","other"
"27171","other miscellaneous","intimidation"
"27172","other miscellaneous","intimidation"
"27173","other miscellaneous","other"
"27174","other miscellaneous","other"
"27175","other miscellaneous","other"
"27176","other miscellaneous","other"
"27177","other miscellaneous","other"
"27180","other miscellaneous","other"
"27185","other miscellaneous","other"
"27190","other miscellaneous","other"
"27195","other miscellaneous","trespass"
"27196","other miscellaneous","other"
"27197","other miscellaneous","trespass"
"27198","other miscellaneous","loitering"
"27199","other miscellaneous","loitering"
"27200","other miscellaneous","trespass"
"27201","other miscellaneous","larceny theft - other"
"27210","other miscellaneous","other"
"27220","other miscellaneous","other"
"27300","other miscellaneous","other"
"28010","malicious mischief","other"
"28020","malicious mischief","vandalism"
"28030","malicious mischief","vandalism"
"28040","malicious mischief","vandalism"
"28050","malicious mischief","vandalism"
"28060","malicious mischief","vandalism"
"28070","malicious mischief","vandalism"
"28080","malicious mischief","other"
